result,table,_time,_value,DeviceID,MeterModel,_field,_measurement
_result,0,2025-07-22 11:45:01,50472.78516,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:03,50966.57813,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:05,50601.78516,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:07,50246.81641,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:09,50191.02344,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:11,50444.64844,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:13,50444.64844,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:15,50651.0625,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:17,50621.74609,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:19,50353.75781,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:21,50624.51563,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:23,50686.38281,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:25,50773.14453,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:27,51297.16797,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:29,51197.24609,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:31,51228.53906,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:33,52090.28906,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:35,52223.42578,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:37,51984.38672,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:39,52615.51953,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:41,52599.59766,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:43,52873.92969,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:45,52825.89453,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:47,53200.60547,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:49,53200.10938,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:51,53200.10938,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:53,53287.125,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:55,52196.79688,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:57,51665.16016,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:45:59,51657.22656,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:01,51569.85938,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:03,51396.16797,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:05,50765.85547,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:07,50722.51953,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:09,50664.5,E3510,PM8000,Active_Power_A,Babel
_result,0,2025-07-22 11:46:11,51281.39063,E3510,PM8000,Active_Power_A,Babel
